"filename", "language", "JSON with Comments", "HTML", "Markdown", "JSON", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\cliente.service.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 7, 33
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\detalle-despacho.service.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 8, 34
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\detalle-orden-recepcion.service.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 9, 39
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\inventario.service.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 13, 50
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\movimientos-inventario.service.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 9, 36
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\orden-despacho.service.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 9, 35
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\orden-recepcion.service.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 10, 39
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\producto.service.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 10, 42
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\proveedores.service.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 8, 32
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\ubicacion.service.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 9, 41
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\usuario.service.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 10, 39
"c:\TPPROGRA4\GestorDeDepositos\src\app\core\services\zona.service.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 9, 37
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\dashboard\dashboard.component.css", "PostCSS", 0, 0, 0, 0, 0, 112, 6, 19, 137
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\dashboard\dashboard.component.html", "HTML", 0, 33, 0, 0, 0, 0, 0, 7, 40
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 9, 51
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-clientes\cliente-form\cliente-form.component.html", "HTML", 0, 27, 0, 0, 0, 0, 0, 7, 34
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-clientes\cliente-form\cliente-form.component.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 0, 13, 82
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-clientes\cliente-list\cliente-list.component.html", "HTML", 0, 66, 0, 0, 0, 0, 0, 9, 75
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-clientes\cliente-list\cliente-list.component.ts", "TypeScript", 0, 0, 0, 0, 91, 0, 0, 15, 106
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-inventarios\inventario-form\inventario-form.component.html", "HTML", 0, 54, 0, 0, 0, 0, 6, 15, 75
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-inventarios\inventario-form\inventario-form.component.ts", "TypeScript", 0, 0, 0, 0, 133, 0, 16, 31, 180
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-inventarios\inventario-list\inventario-list.component.html", "HTML", 0, 72, 0, 0, 0, 0, 0, 12, 84
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-inventarios\inventario-list\inventario-list.component.ts", "TypeScript", 0, 0, 0, 0, 85, 0, 1, 19, 105
"c:\TPPROGRA4\GestorDeDepositos\src\app\features\gestion-movimientos-inventario\movimientos-form\movimientos-form.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
